GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Student manager,com.markvarga21.studentmanager.util,DateDeserializer,14,232,3,13,4,35,3,9,0,4
Student manager,com.markvarga21.studentmanager.util,AdminUserInit,0,50,1,1,0,14,1,1,0,1
Student manager,com.markvarga21.studentmanager.util,ImageCompressor,10,67,1,3,4,22,1,3,0,2
Student manager,com.markvarga21.studentmanager.service.validation.face.impl,FacialValidationServiceImpl,100,95,6,4,25,26,5,7,1,6
Student manager,com.markvarga21.studentmanager.util.validation,DateValidator,0,30,0,6,0,9,0,6,0,3
Student manager,com.markvarga21.studentmanager.util.validation,XmlValidator,0,52,0,0,0,15,0,3,0,3
Student manager,com.markvarga21.studentmanager.util.validation,JsonValidator,0,20,0,2,0,7,0,3,0,2
Student manager,com.markvarga21.studentmanager.controller,StudentAppUserController,0,9,0,0,0,4,0,1,0,1
Student manager,com.markvarga21.studentmanager.controller,ReportingController,0,30,0,0,0,7,0,3,0,3
Student manager,com.markvarga21.studentmanager.controller,StudentController,0,76,0,0,0,17,0,5,0,5
Student manager,com.markvarga21.studentmanager.controller,FormRecognizerController,0,11,0,0,0,3,0,1,0,1
Student manager,com.markvarga21.studentmanager.controller,ExportValidatorController,0,40,0,0,0,13,0,3,0,3
Student manager,com.markvarga21.studentmanager.controller,FacialValidationController,0,46,0,2,0,13,0,5,0,4
Student manager,com.markvarga21.studentmanager.controller,PassportValidationController,23,56,0,0,6,15,2,6,2,6
Student manager,com.markvarga21.studentmanager.controller,FileUploadController,13,125,1,2,6,34,2,7,1,6
Student manager,com.markvarga21.studentmanager.controller,FaceController,0,12,0,0,0,3,0,1,0,1
Student manager,com.markvarga21.studentmanager.mapping,StudentMapper,0,109,0,0,0,42,0,3,0,3
Student manager,com.markvarga21.studentmanager.dto,Role,0,15,0,0,0,3,0,1,0,1
Student manager,com.markvarga21.studentmanager.service.impl,StudentServiceImpl,16,476,3,21,2,107,3,19,0,10
Student manager,com.markvarga21.studentmanager.service.file.impl,FileUploadServiceImpl,22,284,2,24,4,69,2,20,0,8
Student manager,com.markvarga21.studentmanager.service.auth.security,AppUserDetailsService,0,52,0,2,0,18,0,4,0,3
Student manager,com.markvarga21.studentmanager.service.validation.passport.impl,PassportValidationServiceImpl,0,117,0,6,0,33,0,9,0,6
Student manager,com.markvarga21.studentmanager.service.report.impl,ReportServiceImpl,0,78,0,2,0,24,0,5,0,4
Student manager,com.markvarga21.studentmanager.service.auth.impl,TokenManagementServiceImpl,0,95,1,3,0,33,1,7,0,6
Student manager,com.markvarga21.studentmanager.service.auth.impl,AppUserServiceImpl,138,282,12,16,25,68,9,14,1,8
